id,farmer_id,amount,payment_date,status,transaction_id,scheme_type
1,1,5000,2024-02-10,completed,KAL240210001,input_subsidy
2,1,3000,2024-03-15,completed,KAL240315002,livelihood_support
3,3,5000,2024-01-20,completed,KAL240120003,input_subsidy
4,4,5000,2024-02-25,completed,KAL240225004,input_subsidy
5,6,3000,2024-03-10,completed,KAL240310005,livelihood_support
6,8,5000,2024-01-30,completed,KAL240130006,input_subsidy
7,9,5000,2024-02-18,completed,KAL240218007,input_subsidy
8,11,3000,2024-03-22,completed,KAL240322008,livelihood_support
9,13,5000,2024-01-28,completed,KAL240128009,input_subsidy
10,15,5000,2024-02-14,processed,KAL240214010,input_subsidy
(Continue to 500 records...)
