id,crop,market,district,price,date,variety,grade
1,Paddy,Bhubaneswar Mandi,Khordha,2040,2026-04-01,Swarna,A
2,Wheat,Bhubaneswar Mandi,Khordha,2410,2026-04-01,Lok-1,A
3,Maize,Bhubaneswar Mandi,Khordha,2230,2026-04-01,Hybrid,A
4,Mustard,Bhubaneswar Mandi,Khordha,6200,2026-04-01,Varuna,A
5,Tomato,Bhubaneswar Mandi,Khordha,1470,2026-04-01,Local,B
6,Potato,Bhubaneswar Mandi,Khordha,1790,2026-04-01,Kufri,A
7,Onion,Bhubaneswar Mandi,Khordha,2110,2026-04-01,Nasik,A
8,Groundnut,Bhubaneswar Mandi,Khordha,6180,2026-04-01,TAG-24,A
9,Paddy,Cuttack Mandi,Cuttack,2020,2026-04-01,Swarna,A
10,Wheat,Cuttack Mandi,Cuttack,2390,2026-04-01,Lok-1,A
11,Maize,Cuttack Mandi,Cuttack,2210,2026-04-01,Hybrid,A
12,Mustard,Cuttack Mandi,Cuttack,6180,2026-04-01,Varuna,A
13,Tomato,Cuttack Mandi,Cuttack,1450,2026-04-01,Local,B
14,Potato,Cuttack Mandi,Cuttack,1770,2026-04-01,Kufri,A
15,Onion,Cuttack Mandi,Cuttack,2090,2026-04-01,Nasik,A
16,Groundnut,Cuttack Mandi,Cuttack,6160,2026-04-01,TAG-24,A
17,Paddy,Puri Mandi,Puri,2180,2026-04-01,Swarna,A
18,Wheat,Puri Mandi,Puri,2370,2026-04-01,Lok-1,A
19,Maize,Puri Mandi,Puri,2190,2026-04-01,Hybrid,A
20,Mustard,Puri Mandi,Puri,6160,2026-04-01,Varuna,A
21,Tomato,Puri Mandi,Puri,1430,2026-04-01,Local,B
22,Potato,Puri Mandi,Puri,1750,2026-04-01,Kufri,A
23,Onion,Puri Mandi,Puri,2070,2026-04-01,Nasik,A
24,Groundnut,Puri Mandi,Puri,6140,2026-04-01,TAG-24,A
25,Paddy,Berhampur Mandi,Ganjam,2160,2026-04-01,Swarna,A
26,Wheat,Berhampur Mandi,Ganjam,2530,2026-04-01,Lok-1,A
27,Maize,Berhampur Mandi,Ganjam,2170,2026-04-01,Hybrid,A
28,Mustard,Berhampur Mandi,Ganjam,6140,2026-04-01,Varuna,A
29,Tomato,Berhampur Mandi,Ganjam,1410,2026-04-01,Local,B
30,Potato,Berhampur Mandi,Ganjam,1730,2026-04-01,Kufri,A
31,Onion,Berhampur Mandi,Ganjam,2050,2026-04-01,Nasik,A
32,Groundnut,Berhampur Mandi,Ganjam,6120,2026-04-01,TAG-24,A
33,Paddy,Balasore Mandi,Balasore,2140,2026-04-01,Swarna,A
34,Wheat,Balasore Mandi,Balasore,2510,2026-04-01,Lok-1,A
35,Maize,Balasore Mandi,Balasore,2330,2026-04-01,Hybrid,A
36,Mustard,Balasore Mandi,Balasore,6120,2026-04-01,Varuna,A
37,Tomato,Balasore Mandi,Balasore,1390,2026-04-01,Local,B
38,Potato,Balasore Mandi,Balasore,1710,2026-04-01,Kufri,A
39,Onion,Balasore Mandi,Balasore,2030,2026-04-01,Nasik,A
40,Groundnut,Balasore Mandi,Balasore,6100,2026-04-01,TAG-24,A
41,Paddy,Sambalpur Mandi,Sambalpur,2120,2026-04-01,Swarna,A
